EmployeeNumber,Attrition,MonthlyIncome,OverTime,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,TotalWorkingYears,YearsAtCompany,Department,JobRole,Gender,Attrition_Flag
366,No,5258,No,4,3,3,7,1,Research & Development,Manufacturing Director,Female,0
367,Yes,9355,No,3,2,1,8,8,Sales,Sales Executive,Male,1
368,No,10496,No,3,4,4,20,4,Research & Development,Healthcare Representative,Male,0
369,Yes,6380,Yes,3,3,3,8,6,Sales,Sales Executive,Male,1
370,No,2657,Yes,3,2,3,3,2,Research & Development,Research Scientist,Male,0
371,Yes,2716,No,3,2,3,1,1,Sales,Sales Representative,Female,1
372,No,2201,No,3,4,4,6,3,Research & Development,Research Scientist,Male,0
373,No,6540,No,3,2,3,10,1,Research & Development,Healthcare Representative,Male,0
374,No,3816,No,3,2,4,5,5,Research & Development,Laboratory Technician,Male,0
375,No,5253,No,3,4,2,7,7,Sales,Sales Executive,Male,0
376,No,10965,No,3,3,2,26,5,Research & Development,Healthcare Representative,Male,0
377,No,4936,No,2,4,3,18,7,Sales,Sales Executive,Female,0
378,No,2543,No,3,3,4,6,2,Research & Development,Research Scientist,Female,0
379,Yes,5304,Yes,2,4,1,9,5,Sales,Sales Executive,Male,1
380,No,16659,Yes,3,4,3,30,5,Research & Development,Manager,Female,0
381,No,4260,Yes,4,3,4,5,5,Sales,Sales Executive,Female,0
382,No,2476,No,3,2,3,1,1,Sales,Sales Representative,Male,0
383,Yes,3102,No,3,1,3,7,6,Research & Development,Research Scientist,Male,1
384,No,2244,No,3,2,1,2,2,Research & Development,Research Scientist,Female,0
385,No,7596,No,3,3,2,10,10,Sales,Sales Executive,Male,0
386,Yes,2285,Yes,3,4,3,3,1,Research & Development,Research Scientist,Male,1
387,No,3034,No,2,1,4,18,18,Research & Development,Laboratory Technician,Female,0
388,No,5715,No,3,2,4,8,5,Sales,Sales Executive,Female,0
389,No,2576,No,3,1,2,8,5,Research & Development,Laboratory Technician,Female,0
390,No,4197,Yes,2,2,3,18,1,Research & Development,Manufacturing Director,Male,0
391,No,14336,No,3,2,1,25,25,Research & Development,Research Director,Male,0
392,No,3448,No,3,3,2,20,1,Research & Development,Laboratory Technician,Female,0
393,No,19406,No,2,1,1,24,4,Research & Development,Research Director,Male,0
394,No,6538,No,3,3,3,6,3,Sales,Sales Executive,Female,0
395,No,4306,No,1,1,2,13,13,Research & Development,Manufacturing Director,Female,0
396,No,2258,No,3,4,4,8,3,Research & Development,Laboratory Technician,Male,0
397,No,4522,Yes,3,3,3,8,5,Research & Development,Healthcare Representative,Female,0
398,No,4487,Yes,3,4,2,5,5,Sales,Sales Executive,Female,0
399,No,4449,Yes,3,3,2,15,13,Research & Development,Research Scientist,Female,0
400,No,2218,No,3,1,4,4,4,Research & Development,Laboratory Technician,Male,0
401,No,19197,Yes,3,3,2,21,21,Research & Development,Manager,Male,0
402,No,13212,No,2,1,3,36,7,Sales,Sales Executive,Female,0
403,No,6577,No,3,3,2,6,5,Sales,Sales Executive,Female,0
404,No,8392,No,3,1,2,10,10,Sales,Sales Executive,Male,0
405,No,4558,No,3,1,3,10,10,Research & Development,Laboratory Technician,Male,0
406,Yes,4031,No,3,1,1,6,2,Research & Development,Laboratory Technician,Male,1
407,No,7969,Yes,3,3,4,28,5,Research & Development,Manufacturing Director,Male,0
408,No,2654,No,2,4,1,8,2,Research & Development,Research Scientist,Male,0
409,No,16555,No,1,4,4,31,5,Research & Development,Manager,Female,0
410,No,4556,No,3,3,1,19,5,Research & Development,Research Scientist,Female,0
411,No,6091,No,3,4,3,11,5,Research & Development,Manufacturing Director,Female,0
412,No,19566,No,1,1,1,33,29,Research & Development,Manager,Female,0
413,No,4810,No,2,3,3,19,10,Research & Development,Manufacturing Director,Female,0
414,No,4523,No,4,4,4,7,6,Research & Development,Healthcare Representative,Female,0
415,Yes,3202,Yes,3,2,1,6,5,Sales,Sales Representative,Female,1
416,Yes,2351,No,2,3,4,3,2,Sales,Sales Representative,Female,1
417,No,1702,Yes,3,4,4,1,1,Research & Development,Laboratory Technician,Male,0
418,No,18041,No,3,3,3,21,20,Sales,Manager,Female,0
419,No,2886,No,1,4,1,3,3,Research & Development,Research Scientist,Female,0
420,No,2097,No,1,4,3,9,5,Research & Development,Laboratory Technician,Male,0
421,No,11935,No,3,3,2,10,10,Research & Development,Research Director,Male,0
422,Yes,2546,No,4,2,3,6,2,Research & Development,Research Scientist,Female,1
423,Yes,2564,No,4,4,1,1,1,Human Resources,Human Resources,Male,1
424,No,8412,No,3,1,3,10,9,Sales,Sales Executive,Female,0
425,No,14118,No,2,4,1,32,1,Sales,Manager,Male,0
426,No,17046,No,3,3,2,28,27,Research & Development,Manager,Male,0
427,No,2564,No,2,4,3,12,11,Research & Development,Laboratory Technician,Female,0
428,No,10266,No,4,1,3,22,18,Sales,Sales Executive,Female,0
429,No,5070,No,3,4,1,20,5,Research & Development,Manufacturing Director,Female,0
430,No,17861,No,1,3,1,26,3,Research & Development,Research Director,Male,0
431,No,4230,No,3,3,4,6,5,Research & Development,Laboratory Technician,Male,0
432,No,3780,No,3,3,3,19,1,Research & Development,Laboratory Technician,Female,0
433,No,2768,No,3,3,4,14,7,Research & Development,Research Scientist,Male,0
434,No,9071,Yes,3,4,3,15,3,Sales,Sales Executive,Female,0
435,No,10648,No,4,2,3,13,13,Research & Development,Manufacturing Director,Male,0
436,Yes,13610,Yes,4,3,2,15,7,Research & Development,Manager,Male,1
437,Yes,3408,No,3,4,1,8,4,Research & Development,Laboratory Technician,Male,1
438,No,2983,No,3,2,4,4,3,Sales,Sales Representative,Male,0
439,No,7632,Yes,3,3,4,10,8,Research & Development,Healthcare Representative,Male,0
440,Yes,9824,No,3,3,1,12,1,Research & Development,Healthcare Representative,Male,1
441,Yes,9950,Yes,3,1,2,11,3,Human Resources,Human Resources,Female,1
442,No,2093,No,3,3,2,8,2,Research & Development,Laboratory Technician,Male,0
443,No,9980,No,2,4,2,10,10,Sales,Sales Executive,Male,0
444,Yes,3894,No,3,3,3,4,2,Research & Development,Laboratory Technician,Male,1
445,No,4051,No,3,4,2,14,9,Sales,Sales Executive,Female,0
446,No,16835,No,3,2,1,37,10,Sales,Manager,Female,0
447,No,6230,No,3,4,4,16,14,Sales,Sales Executive,Male,0
448,No,4717,No,3,3,2,15,11,Sales,Sales Executive,Male,0
449,No,13237,No,3,3,2,22,20,Research & Development,Manufacturing Director,Female,0
450,No,3755,No,3,3,3,8,8,Research & Development,Laboratory Technician,Female,0
451,No,6582,Yes,4,4,2,10,6,Sales,Sales Executive,Male,0
452,No,7406,Yes,2,1,4,10,10,Research & Development,Manufacturing Director,Male,0
453,No,4805,No,4,2,4,9,8,Sales,Sales Executive,Male,0
454,Yes,2741,Yes,2,3,2,8,7,Human Resources,Human Resources,Female,1
455,No,4262,No,4,4,4,8,3,Research & Development,Manufacturing Director,Male,0
456,No,16184,No,3,3,1,10,6,Research & Development,Research Director,Female,0
457,No,11557,No,2,4,3,10,5,Sales,Manager,Male,0
458,Yes,1878,Yes,3,2,2,0,0,Sales,Sales Representative,Male,1
459,No,10932,No,3,1,3,20,1,Sales,Sales Executive,Male,0
460,No,6811,Yes,3,3,1,10,8,Research & Development,Healthcare Representative,Female,0
461,No,4306,No,3,3,1,8,0,Sales,Sales Executive,Male,0
462,No,4859,No,3,3,1,5,5,Sales,Sales Executive,Female,0
463,No,5337,No,3,4,4,10,10,Sales,Sales Executive,Male,0
464,Yes,2340,Yes,1,4,3,1,1,Research & Development,Laboratory Technician,Male,1
465,No,7491,No,4,4,2,12,6,Research & Development,Manufacturing Director,Female,0
466,No,10527,No,2,3,1,28,2,Research & Development,Healthcare Representative,Female,0
467,No,16595,No,3,1,2,22,18,Sales,Manager,Female,0
468,No,8834,No,3,2,1,9,9,Sales,Sales Executive,Male,0
469,No,5577,Yes,3,1,4,18,10,Research & Development,Research Scientist,Male,0
470,Yes,4707,No,3,3,4,6,4,Sales,Sales Executive,Male,1
471,No,2400,No,3,4,4,3,2,Sales,Sales Representative,Male,0
472,No,9824,No,3,3,3,18,1,Research & Development,Healthcare Representative,Female,0
473,No,6447,No,2,2,2,8,6,Research & Development,Manufacturing Director,Female,0
474,No,19502,Yes,3,3,4,31,31,Research & Development,Research Director,Male,0
475,No,2725,Yes,3,4,2,6,6,Research & Development,Research Scientist,Male,0
476,No,6272,No,4,2,1,6,5,Sales,Sales Executive,Male,0
477,No,2127,No,3,2,4,1,1,Research & Development,Laboratory Technician,Male,0
478,No,18200,No,3,2,1,32,32,Human Resources,Manager,Male,0
479,No,2096,No,3,3,2,7,7,Sales,Sales Representative,Male,0
480,Yes,2886,Yes,3,3,1,6,6,Research & Development,Laboratory Technician,Female,1
481,Yes,2033,No,4,1,2,1,1,Sales,Sales Representative,Male,1
482,No,3622,Yes,3,4,2,6,6,Research & Development,Research Scientist,Male,0
483,Yes,4233,No,1,1,2,9,3,Sales,Sales Executive,Male,1
484,No,3681,No,3,4,1,9,3,Research & Development,Laboratory Technician,Male,0
485,No,5460,No,4,4,1,13,7,Sales,Sales Executive,Male,0
486,No,2187,No,2,3,1,6,5,Research & Development,Research Scientist,Female,0
487,No,9602,Yes,2,3,4,17,3,Sales,Sales Executive,Male,0
488,No,2836,No,4,2,4,1,1,Research & Development,Research Scientist,Female,0
489,No,4089,No,3,4,3,10,10,Research & Development,Healthcare Representative,Female,0
490,No,16627,Yes,2,4,2,21,1,Research & Development,Research Director,Male,0
491,No,2619,No,2,1,3,8,0,Research & Development,Research Scientist,Female,0
492,No,5679,Yes,3,3,4,10,8,Research & Development,Laboratory Technician,Male,0
493,No,15402,No,1,1,4,21,3,Research & Development,Manager,Female,0
494,No,5985,No,4,3,1,10,2,Human Resources,Human Resources,Female,0
495,No,2579,Yes,3,3,3,8,8,Sales,Sales Representative,Female,0
496,Yes,3041,No,3,1,3,5,4,Sales,Sales Representative,Male,1
497,No,3447,No,3,3,3,3,3,Sales,Sales Representative,Male,0
498,No,19513,Yes,4,4,4,26,2,Research & Development,Manager,Male,0
499,No,2773,No,3,3,1,3,2,Research & Development,Research Scientist,Male,0
500,No,7104,No,3,3,3,6,5,Sales,Sales Executive,Male,0
501,No,6322,Yes,2,4,1,6,6,Research & Development,Research Scientist,Female,0
502,No,2083,No,3,3,3,1,1,Research & Development,Research Scientist,Female,0
503,No,8381,No,4,1,4,18,14,Sales,Sales Executive,Female,0
504,No,2691,No,2,4,2,10,10,Research & Development,Research Scientist,Male,0
505,Yes,4286,No,3,1,1,5,1,Sales,Sales Executive,Female,1
506,No,2659,Yes,3,4,3,3,3,Research & Development,Laboratory Technician,Female,0
507,No,9434,No,3,3,3,10,10,Research & Development,Manufacturing Director,Male,0
508,No,5561,No,2,3,2,6,6,Sales,Sales Executive,Female,0
509,No,6646,No,3,4,2,17,17,Research & Development,Research Scientist,Male,0
510,No,7725,No,1,4,3,15,13,Research & Development,Healthcare Representative,Male,0
511,No,10725,No,4,2,3,16,9,Human Resources,Human Resources,Male,0
512,No,8847,Yes,3,2,2,13,3,Research & Development,Manufacturing Director,Male,0
513,No,2045,No,3,4,1,5,4,Research & Development,Research Scientist,Male,0
514,Yes,1009,Yes,3,3,4,1,1,Research & Development,Research Scientist,Male,1
515,Yes,3348,Yes,3,1,1,10,10,Research & Development,Research Scientist,Male,1
516,No,1281,No,3,3,3,1,1,Research & Development,Laboratory Technician,Male,0
517,No,2819,No,4,1,1,5,3,Research & Development,Research Scientist,Male,0
518,No,4851,No,3,2,4,4,3,Sales,Sales Executive,Male,0
519,No,4028,No,3,4,4,8,7,Sales,Sales Executive,Female,0
520,No,2720,No,3,4,2,10,10,Research & Development,Research Scientist,Male,0
521,No,8120,No,3,2,2,12,2,Sales,Sales Executive,Male,0
522,No,4647,Yes,3,4,4,6,6,Sales,Sales Executive,Female,0
523,No,4680,No,3,4,4,4,1,Research & Development,Research Scientist,Male,0
524,No,3221,Yes,3,3,4,20,20,Research & Development,Laboratory Technician,Male,0
525,No,8621,No,4,2,4,9,8,Research & Development,Healthcare Representative,Female,0
526,Yes,4577,No,3,3,1,4,2,Sales,Sales Executive,Female,1
527,No,4553,No,3,3,4,20,20,Research & Development,Healthcare Representative,Female,0
528,No,5396,No,2,4,4,10,10,Sales,Sales Executive,Male,0
529,Yes,6796,Yes,3,3,2,18,4,Sales,Sales Executive,Male,1
530,No,7625,No,2,4,2,10,9,Research & Development,Healthcare Representative,Female,0
531,No,7412,No,3,1,3,9,9,Research & Development,Manufacturing Director,Female,0
532,No,11159,No,3,4,3,10,7,Research & Development,Research Director,Female,0
533,No,4960,No,3,1,4,20,7,Sales,Sales Executive,Male,0
534,No,10475,Yes,3,1,4,20,18,Sales,Sales Executive,Male,0
535,No,14814,No,3,3,3,32,5,Research & Development,Research Director,Male,0
536,No,19141,No,2,4,2,23,21,Human Resources,Manager,Male,0
537,No,5405,No,3,1,1,10,2,Sales,Sales Executive,Male,0
538,No,8793,No,2,1,4,9,9,Research & Development,Manufacturing Director,Male,0
539,No,19189,No,3,3,4,22,22,Human Resources,Manager,Male,0
540,No,3875,No,3,2,4,4,2,Sales,Sales Representative,Male,0
541,Yes,2216,Yes,3,2,1,10,7,Research & Development,Research Scientist,Female,1
542,No,11713,No,3,1,1,10,8,Research & Development,Research Director,Female,0
543,No,7861,Yes,4,3,3,10,1,Research & Development,Manufacturing Director,Female,0
544,No,3708,No,3,3,1,9,5,Research & Development,Laboratory Technician,Male,0
545,No,13770,Yes,2,3,4,28,22,Sales,Sales Executive,Female,0
546,No,5304,No,2,4,3,10,8,Sales,Sales Executive,Male,0
547,No,2642,No,3,3,3,1,1,Sales,Sales Representative,Male,0
548,Yes,2759,Yes,3,3,3,7,2,Research & Development,Research Scientist,Male,1
549,No,6804,No,3,4,4,7,2,Sales,Sales Executive,Male,0
550,No,6142,No,3,3,2,10,5,Research & Development,Healthcare Representative,Female,0
551,No,2500,No,4,1,2,5,4,Research & Development,Laboratory Technician,Male,0
552,No,6389,No,1,2,3,12,8,Human Resources,Human Resources,Female,0
553,No,11103,No,2,4,3,30,10,Research & Development,Healthcare Representative,Male,0
554,No,2342,Yes,2,4,4,5,4,Research & Development,Research Scientist,Female,0
555,No,6811,No,1,1,4,9,7,Research & Development,Healthcare Representative,Female,0
556,No,2297,No,3,2,4,2,2,Sales,Sales Representative,Male,0
557,No,2450,No,3,4,4,19,2,Research & Development,Laboratory Technician,Male,0
558,No,5093,No,4,1,4,16,1,Research & Development,Healthcare Representative,Female,0
559,No,5309,No,3,4,1,10,10,Research & Development,Laboratory Technician,Male,0
560,No,3057,Yes,1,3,4,6,1,Research & Development,Research Scientist,Male,0
561,No,5121,No,3,1,2,7,0,Research & Development,Manufacturing Director,Female,0
562,No,16856,No,4,1,3,34,34,Sales,Manager,Male,0
563,Yes,2686,Yes,2,4,4,10,10,Research & Development,Research Scientist,Male,1
564,No,6180,No,2,4,3,6,6,Sales,Sales Executive,Female,0
565,No,6632,No,3,3,2,9,8,Sales,Sales Representative,Male,0
566,No,3505,No,3,3,1,2,2,Research & Development,Research Scientist,Male,0
567,Yes,6397,Yes,3,3,2,8,5,Sales,Sales Executive,Female,1
568,No,6274,No,3,4,4,6,6,Sales,Sales Executive,Male,0
569,Yes,19859,Yes,3,1,4,24,5,Research & Development,Manager,Male,1
570,No,7587,No,3,1,1,10,10,Sales,Sales Executive,Male,0
571,No,4258,No,3,4,4,5,4,Research & Development,Research Scientist,Male,0
572,No,4364,No,3,4,1,5,2,Research & Development,Laboratory Technician,Female,0
573,No,4335,No,2,3,2,11,8,Research & Development,Healthcare Representative,Female,0
574,Yes,5326,No,2,1,4,6,4,Sales,Sales Executive,Male,1
575,No,3280,No,3,4,2,10,4,Research & Development,Research Scientist,Female,0
576,No,5485,Yes,3,1,4,9,5,Research & Development,Manufacturing Director,Female,0
577,No,4342,No,3,4,3,5,4,Sales,Sales Executive,Male,0
578,No,2782,Yes,2,1,4,6,5,Research & Development,Research Scientist,Female,0
579,No,5980,Yes,3,1,1,17,15,Research & Development,Manufacturing Director,Female,0
580,No,4381,No,3,1,3,6,6,Research & Development,Research Scientist,Female,0
581,No,2572,No,2,4,1,3,3,Sales,Sales Representative,Female,0
582,No,3833,No,3,3,4,7,2,Research & Development,Laboratory Technician,Male,0
583,No,4244,No,3,2,3,8,8,Research & Development,Healthcare Representative,Female,0
584,No,6500,No,3,1,3,6,3,Sales,Sales Executive,Female,0
585,No,18430,No,2,4,2,24,24,Research & Development,Manager,Male,0
586,Yes,1601,Yes,3,1,3,1,0,Research & Development,Laboratory Technician,Male,1
587,No,2694,No,3,2,3,1,1,Research & Development,Laboratory Technician,Male,0
588,No,3149,No,3,3,4,9,5,Research & Development,Laboratory Technician,Female,0
589,No,17639,No,3,3,3,30,4,Research & Development,Research Director,Male,0
590,Yes,2319,Yes,3,1,2,1,1,Research & Development,Laboratory Technician,Female,1
591,No,11691,No,4,3,3,14,13,Research & Development,Research Director,Male,0
592,Yes,5324,No,3,1,1,6,3,Sales,Sales Executive,Female,1
593,No,16752,Yes,2,4,3,26,26,Research & Development,Manager,Female,0
594,No,5228,No,3,2,3,10,9,Research & Development,Manufacturing Director,Female,0
595,No,2700,No,3,3,3,10,10,Research & Development,Research Scientist,Male,0
596,Yes,19246,Yes,3,2,4,40,31,Research & Development,Research Director,Male,1
597,No,2506,No,3,3,4,7,2,Research & Development,Research Scientist,Female,0
598,No,6062,Yes,3,4,4,8,4,Research & Development,Manufacturing Director,Female,0
599,Yes,4382,No,2,3,3,5,2,Research & Development,Research Scientist,Male,1
600,No,2143,No,3,2,3,8,5,Human Resources,Human Resources,Male,0
601,No,6162,No,3,3,3,14,14,Research & Development,Manufacturing Director,Female,0
602,No,5094,No,3,3,1,10,1,Research & Development,Laboratory Technician,Male,0
603,No,6877,Yes,2,4,3,12,0,Research & Development,Manufacturing Director,Female,0
604,No,2274,No,3,3,2,1,1,Research & Development,Research Scientist,Female,0
605,No,4434,No,2,2,2,10,9,Research & Development,Manufacturing Director,Male,0
606,No,6288,No,2,1,1,13,4,Research & Development,Healthcare Representative,Male,0
607,No,2553,No,3,4,3,6,5,Research & Development,Research Scientist,Female,0
608,Yes,7654,No,4,4,3,9,9,Sales,Sales Executive,Female,1
609,Yes,5160,No,2,4,3,12,9,Sales,Sales Executive,Male,1
610,No,17159,No,3,1,2,22,4,Research & Development,Research Director,Male,0
611,No,12808,Yes,3,4,3,9,9,Research & Development,Research Director,Male,0
612,No,10221,No,4,3,3,17,8,Research & Development,Manufacturing Director,Male,0
613,No,4779,Yes,3,2,2,8,8,Sales,Sales Executive,Female,0
614,No,3737,No,1,4,3,4,3,Human Resources,Human Resources,Male,0
615,Yes,2366,Yes,3,3,3,8,8,Research & Development,Research Scientist,Female,1
616,No,1706,No,2,4,4,0,0,Research & Development,Research Scientist,Male,0
617,No,16307,No,2,3,1,29,20,Sales,Manager,Female,0
618,No,5933,No,2,2,4,10,5,Research & Development,Healthcare Representative,Male,0
619,No,3424,No,2,1,1,6,4,Research & Development,Research Scientist,Male,0
620,No,4037,No,3,1,1,9,9,Sales,Sales Executive,Male,0
621,No,2559,No,2,1,3,6,6,Research & Development,Research Scientist,Female,0
622,No,6201,Yes,2,4,2,18,18,Sales,Sales Executive,Male,0
623,No,4403,No,2,4,2,8,5,Sales,Sales Executive,Male,0
624,No,3761,No,2,4,2,10,5,Research & Development,Research Scientist,Male,0
625,No,10934,Yes,3,4,1,35,5,Sales,Sales Executive,Female,0
626,No,10761,Yes,3,1,4,18,5,Sales,Sales Executive,Male,0
627,No,5175,No,2,3,3,9,5,Research & Development,Research Scientist,Female,0
628,No,13826,No,3,4,3,31,9,Research & Development,Manufacturing Director,Female,0
629,No,6334,No,3,3,4,9,1,Sales,Sales Executive,Male,0
630,No,4936,No,3,4,2,6,5,Human Resources,Human Resources,Male,0
631,No,4775,No,1,4,4,4,2,Research & Development,Manufacturing Director,Male,0
632,No,2818,Yes,2,4,1,10,3,Research & Development,Laboratory Technician,Male,0
633,No,2515,Yes,3,4,2,8,2,Research & Development,Research Scientist,Male,0
634,No,2342,No,3,1,1,6,5,Human Resources,Human Resources,Male,0
635,No,4194,Yes,3,1,3,5,5,Sales,Sales Executive,Male,0
636,No,10685,Yes,3,3,4,17,17,Research & Development,Manufacturing Director,Female,0
637,Yes,2022,Yes,2,2,4,10,10,Research & Development,Research Scientist,Female,1
638,No,2314,No,3,4,4,4,3,Research & Development,Laboratory Technician,Male,0
639,No,4256,No,4,1,3,5,5,Sales,Sales Executive,Male,0
640,No,3580,No,3,1,3,7,4,Research & Development,Research Scientist,Female,0
641,No,3162,No,2,4,1,6,5,Research & Development,Laboratory Technician,Male,0
642,No,6524,No,3,2,2,10,10,Sales,Sales Executive,Male,0
643,No,2899,No,3,2,2,3,2,Sales,Sales Representative,Male,0
644,No,5231,Yes,2,4,3,17,5,Research & Development,Laboratory Technician,Female,0
645,No,2356,Yes,3,4,4,8,6,Research & Development,Research Scientist,Male,0
646,Yes,2800,Yes,3,3,2,5,3,Sales,Sales Representative,Female,1
647,No,11836,No,3,4,1,28,2,Sales,Sales Executive,Male,0
648,No,10903,No,3,2,4,16,13,Research & Development,Manufacturing Director,Male,0
649,No,2973,No,3,4,3,10,5,Sales,Sales Representative,Female,0
650,No,14275,No,3,4,4,33,12,Research & Development,Research Director,Female,0
651,No,5562,No,2,4,4,12,5,Research & Development,Healthcare Representative,Female,0
652,No,4537,Yes,3,4,3,8,7,Sales,Sales Executive,Female,0
653,No,7642,Yes,3,2,1,10,10,Sales,Sales Executive,Male,0
654,No,17924,No,3,1,1,31,31,Research & Development,Manager,Male,0
655,No,5204,No,3,4,4,13,5,Human Resources,Human Resources,Female,0
656,No,2277,Yes,4,2,4,7,4,Human Resources,Human Resources,Male,0
657,Yes,2795,Yes,1,4,1,1,1,Research & Development,Laboratory Technician,Male,1
658,No,2532,No,3,4,1,8,4,Research & Development,Laboratory Technician,Female,0
659,No,2559,Yes,3,1,2,8,8,Research & Development,Research Scientist,Male,0
660,No,4908,No,3,4,1,4,4,Sales,Sales Executive,Male,0
661,Yes,2380,Yes,2,4,4,3,1,Research & Development,Laboratory Technician,Male,1
662,No,4765,No,4,2,1,4,1,Research & Development,Manufacturing Director,Female,0
663,Yes,2044,No,2,3,3,2,2,Sales,Sales Representative,Female,1
664,Yes,2693,No,2,4,4,1,1,Research & Development,Research Scientist,Female,1
665,No,6586,Yes,2,4,3,17,16,Research & Development,Healthcare Representative,Male,0
666,No,3294,Yes,2,4,4,3,3,Sales,Sales Representative,Female,0
667,Yes,4171,Yes,4,3,2,4,3,Research & Development,Manufacturing Director,Female,1
668,Yes,2778,Yes,2,4,2,10,7,Research & Development,Laboratory Technician,Female,1
669,No,2377,No,3,3,3,6,2,Research & Development,Research Scientist,Female,0
670,Yes,2404,Yes,1,1,4,8,2,Research & Development,Laboratory Technician,Male,1
671,No,2318,No,3,3,2,1,1,Research & Development,Research Scientist,Female,0
672,No,2008,No,3,2,2,1,1,Research & Development,Laboratory Technician,Male,0
673,No,6244,No,3,3,3,10,5,Sales,Sales Executive,Female,0
674,No,2799,Yes,3,1,3,6,3,Research & Development,Research Scientist,Male,0
675,No,10552,Yes,3,2,3,24,6,Research & Development,Healthcare Representative,Female,0
676,No,2329,No,4,3,2,13,7,Sales,Sales Representative,Male,0
677,No,4014,Yes,1,4,4,10,10,Research & Development,Healthcare Representative,Female,0
678,No,7403,No,2,2,1,29,26,Research & Development,Laboratory Technician,Female,0
679,No,2259,No,2,3,4,13,0,Research & Development,Research Scientist,Male,0
680,No,6932,No,2,3,4,9,9,Sales,Sales Executive,Female,0
681,No,4678,No,3,4,2,8,6,Research & Development,Research Scientist,Male,0
682,No,13582,No,3,1,4,15,15,Research & Development,Research Director,Female,0
683,No,2332,No,3,2,3,5,3,Research & Development,Laboratory Technician,Female,0
684,Yes,2413,Yes,3,2,3,1,1,Sales,Sales Representative,Male,1
685,No,9705,No,2,2,1,11,1,Sales,Sales Executive,Male,0
686,No,4294,No,3,1,3,7,7,Sales,Sales Executive,Male,0
687,No,4721,Yes,3,1,4,20,18,Research & Development,Laboratory Technician,Male,0
688,No,2519,No,3,3,3,16,11,Research & Development,Laboratory Technician,Male,0
689,Yes,2121,Yes,4,2,4,1,1,Sales,Sales Representative,Male,1
690,Yes,2973,No,3,1,1,1,1,Research & Development,Laboratory Technician,Male,1
691,No,5855,Yes,1,4,4,10,9,Research & Development,Healthcare Representative,Female,0
692,No,3617,Yes,3,2,4,3,1,Research & Development,Research Scientist,Male,0
693,No,6725,No,4,1,3,8,8,Research & Development,Manufacturing Director,Female,0
694,Yes,10325,Yes,3,4,3,16,16,Sales,Sales Executive,Male,1
695,No,6949,No,3,4,2,6,5,Research & Development,Healthcare Representative,Female,0
696,Yes,10609,No,1,3,1,17,14,Sales,Sales Executive,Male,1
697,No,4447,No,2,2,3,9,9,Research & Development,Laboratory Technician,Male,0
698,No,2157,No,3,4,3,3,3,Sales,Sales Representative,Female,0
699,No,4601,No,3,3,3,5,5,Sales,Sales Executive,Female,0
700,No,17099,No,2,4,4,26,9,Research & Development,Manager,Male,0
701,Yes,2479,No,3,3,4,7,1,Research & Development,Research Scientist,Male,1
702,No,14852,No,4,3,3,22,17,Sales,Manager,Male,0
703,No,7264,No,4,3,3,10,8,Sales,Sales Executive,Male,0
704,No,5666,Yes,3,4,3,6,5,Sales,Sales Executive,Female,0
705,No,7823,No,3,4,4,12,10,Sales,Sales Executive,Male,0
706,No,7880,No,3,3,1,9,8,Sales,Sales Executive,Male,0
707,Yes,13194,Yes,2,2,2,22,1,Sales,Sales Executive,Female,1
708,No,5067,Yes,4,3,3,20,19,Research & Development,Manufacturing Director,Male,0
709,No,5079,No,3,4,1,12,7,Sales,Sales Executive,Male,0
710,Yes,2321,Yes,3,1,3,4,3,Research & Development,Research Scientist,Male,1
711,No,17444,No,3,3,4,10,10,Sales,Manager,Male,0
712,Yes,2404,Yes,3,1,4,3,0,Research & Development,Research Scientist,Female,1
713,No,3452,No,3,4,2,5,3,Research & Development,Research Scientist,Female,0
714,No,2270,No,3,4,4,8,5,Research & Development,Laboratory Technician,Female,0
715,No,17399,No,2,4,4,32,5,Research & Development,Research Director,Male,0
716,No,5488,Yes,3,2,3,6,6,Research & Development,Healthcare Representative,Female,0
717,No,19419,No,4,3,1,21,18,Research & Development,Research Director,Male,0
718,No,2811,No,3,2,3,4,2,Research & Development,Laboratory Technician,Female,0
719,No,3633,Yes,3,1,4,9,9,Research & Development,Laboratory Technician,Male,0
720,No,4163,Yes,3,4,4,9,9,Sales,Sales Executive,Female,0
721,Yes,2132,Yes,3,3,1,7,5,Research & Development,Research Scientist,Female,1
722,No,13973,Yes,3,3,4,22,12,Research & Development,Manufacturing Director,Male,0
723,No,2684,No,2,3,3,3,2,Research & Development,Research Scientist,Male,0
724,No,10845,No,3,3,4,13,8,Research & Development,Manufacturing Director,Male,0
725,No,4377,No,3,3,4,5,4,Research & Development,Manufacturing Director,Female,0
726,Yes,3743,Yes,1,2,3,5,4,Research & Development,Laboratory Technician,Male,1
727,No,4148,No,3,1,3,4,4,Research & Development,Manufacturing Director,Female,0
728,No,1051,No,3,4,2,0,0,Research & Development,Research Scientist,Male,0
729,No,10739,No,3,3,3,22,10,Research & Development,Manufacturing Director,Female,0
730,No,10388,Yes,2,3,3,16,16,Research & Development,Healthcare Representative,Female,0
731,No,11416,Yes,2,1,2,9,8,Research & Development,Research Director,Female,0
732,Yes,2600,Yes,3,1,4,1,1,Research & Development,Research Scientist,Female,1
733,Yes,2422,No,3,2,2,4,3,Research & Development,Laboratory Technician,Female,1
734,No,5472,No,3,4,4,8,8,Research & Development,Manufacturing Director,Male,0
